GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
car-facade,Gemini_Pro.Factory_Method.Round2,Americano,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round2,Mocha,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round2,Main,33,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round2,Espresso,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round2,Latte,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round2,Cappuccino,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round2,CoffeeShop,34,0,0,0,7,0,2,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round2,CoffeeFactory,40,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round1,CoffeeFactory,52,0,14,0,14,0,9,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round1,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round1,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round1,CoffeeShop,36,0,0,0,7,0,2,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round1,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round1,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round1,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round1,Main,33,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Flash.Facade.round3,SteeringWheel,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round3,Lights,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round3,Brakes,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round3,Car,74,0,0,0,31,0,10,0,10,0
car-facade,Gemini_Flash.Facade.round3,Engine,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Pro.Factory_Method.Round3,CoffeeFactory,40,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round3,Espresso,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round3,Latte,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round3,Main,33,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round3,Americano,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round3,Mocha,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Pro.Factory_Method.Round3,CoffeeShop,34,0,0,0,7,0,2,0,2,0
car-facade,Gemini_Pro.Factory_Method.Round3,Cappuccino,9,0,0,0,5,0,5,0,5,0
car-facade,Gemini_Flash.Facade.round2,Brakes,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round2,Car,74,0,0,0,31,0,10,0,10,0
car-facade,Gemini_Flash.Facade.round2,Lights,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round2,Engine,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Facade.round2,SteeringWheel,11,0,0,0,5,0,3,0,3,0
car-facade,ChatGPT.Facade.Round2,CarFacade,0,53,0,0,0,20,0,7,0,7
car-facade,ChatGPT.Facade.Round2,Brakes,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round2,Lights,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round2,Main,20,0,0,0,9,0,2,0,2,0
car-facade,ChatGPT.Facade.Round2,Engine,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round2,Steering,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round1,Lights,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round1,Brakes,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round1,Main,20,0,0,0,9,0,2,0,2,0
car-facade,ChatGPT.Facade.Round1,Engine,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round1,Steering,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round1,CarFacade,0,53,0,0,0,20,0,7,0,7
car-facade,ChatGPT.Facade.Round3,Car,0,59,0,0,0,22,0,7,0,7
car-facade,ChatGPT.Facade.Round3,Engine,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round3,Steering,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round3,Main,20,0,0,0,9,0,2,0,2,0
car-facade,ChatGPT.Facade.Round3,Lights,0,11,0,0,0,5,0,3,0,3
car-facade,ChatGPT.Facade.Round3,Brakes,0,11,0,0,0,5,0,3,0,3
car-facade,Copilot.Facade.round1,CarFacade,71,0,0,0,30,0,9,0,9,0
car-facade,Copilot.Facade.round1,Main,44,0,0,0,15,0,2,0,2,0
car-facade,Copilot.Facade.round1,Engine,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round1,SteeringWheel,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round1,Lights,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round1,Brakes,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round2,SteeringWheel,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round2,Brakes,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round2,Engine,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round2,Main,68,0,0,0,23,0,2,0,2,0
car-facade,Copilot.Facade.round2,Lights,5,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Facade.round2,CarFacade,47,0,0,0,22,0,9,0,9,0
car-facade,Copilot.Facade.round3,Brakes,11,0,0,0,5,0,3,0,3,0
car-facade,Copilot.Facade.round3,SteeringWheel,11,0,0,0,5,0,3,0,3,0
car-facade,Copilot.Facade.round3,Lights,11,0,0,0,5,0,3,0,3,0
car-facade,Copilot.Facade.round3,Engine,11,0,0,0,5,0,3,0,3,0
car-facade,Copilot.Facade.round3,CarFacade,47,0,0,0,22,0,9,0,9,0
car-facade,Copilot.Facade.round3,Main,8,0,0,0,2,0,2,0,2,0
car-facade,Gemini_Pro.Facade.Round2,Car_code.Engine,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round2,Car_code.CarFacade,89,0,0,0,31,0,11,0,11,0
car-facade,Gemini_Pro.Facade.Round2,Car_code.Lights,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round2,Car_code.Brakes,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round2,Car_code.SteeringWheel,23,0,0,0,9,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round2,Car_code,20,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Pro.Facade.Round1,Car_code.Engine,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round1,Car_code.Brakes,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round1,Car_code.Lights,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round1,Car_code,20,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Pro.Facade.Round1,Car_code.CarFacade,89,0,0,0,31,0,11,0,11,0
car-facade,Gemini_Pro.Facade.Round1,Car_code.SteeringWheel,23,0,0,0,9,0,4,0,4,0
car-facade,Copilot.Factory_Method.round1,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round1,CoffeeFactory,39,0,6,0,8,0,7,0,2,0
car-facade,Copilot.Factory_Method.round1,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round1,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round1,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round1,Main,54,0,2,0,7,0,3,0,2,0
car-facade,Copilot.Factory_Method.round1,Coffee,3,0,0,0,1,0,1,0,1,0
car-facade,Copilot.Factory_Method.round1,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Coffee,3,0,0,0,1,0,1,0,1,0
car-facade,Copilot.Factory_Method.round2,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round2,Main,54,0,2,0,7,0,3,0,2,0
car-facade,Copilot.Factory_Method.round2,CoffeeFactory,39,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Pro.Facade.Round3,Car_code.SteeringWheel,23,0,0,0,9,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round3,Car_code.Lights,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round3,Car_code.Brakes,20,0,0,0,8,0,4,0,4,0
car-facade,Gemini_Pro.Facade.Round3,Car_code.CarFacade,89,0,0,0,31,0,11,0,11,0
car-facade,Gemini_Pro.Facade.Round3,Car_code,20,0,0,0,9,0,2,0,2,0
car-facade,Gemini_Pro.Facade.Round3,Car_code.Engine,20,0,0,0,8,0,4,0,4,0
car-facade,Copilot.Factory_Method.round3,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round3,Coffee,3,0,0,0,1,0,1,0,1,0
car-facade,Copilot.Factory_Method.round3,Main,8,0,0,0,2,0,2,0,2,0
car-facade,Copilot.Factory_Method.round3,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round3,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round3,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round3,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Copilot.Factory_Method.round3,CoffeeFactory,39,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Flash.Factory_Method.round1,Main,37,0,0,0,10,0,2,0,2,0
car-facade,Gemini_Flash.Factory_Method.round1,CoffeeShop,31,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Flash.Factory_Method.round1,CoffeeFactory,3,0,0,0,1,0,1,0,1,0
car-facade,Gemini_Flash.Factory_Method.round1,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round1,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round1,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round1,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round1,CoffeeOrder,39,0,2,0,10,0,3,0,2,0
car-facade,Gemini_Flash.Factory_Method.round1,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,Mocha,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,Cappuccino,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,Main,6,0,0,0,3,0,2,0,2,0
car-facade,Gemini_Flash.Factory_Method.round2,Espresso,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,Latte,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,CoffeeShop,30,0,6,0,8,0,7,0,2,0
car-facade,Gemini_Flash.Factory_Method.round2,CoffeeFactory,3,0,0,0,1,0,1,0,1,0
car-facade,Gemini_Flash.Factory_Method.round2,Americano,7,0,0,0,3,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round2,CoffeeOrder,38,0,2,0,9,0,3,0,2,0
car-facade,Gemini_Flash.Factory_Method.round3,Espresso,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round3,Latte,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round3,Americano,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round3,CoffeeFactory,3,0,0,0,1,0,1,0,1,0
car-facade,Gemini_Flash.Factory_Method.round3,Mocha,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round3,CoffeeOrder,18,0,2,0,7,0,3,0,2,0
car-facade,Gemini_Flash.Factory_Method.round3,Main,78,0,4,0,13,0,4,0,2,0
car-facade,Gemini_Flash.Factory_Method.round3,Cappuccino,11,0,0,0,5,0,3,0,3,0
car-facade,Gemini_Flash.Factory_Method.round3,CoffeeShop,42,0,6,0,9,0,7,0,2,0
car-facade,ChatGPT.Factory_Method.Round3,CoffeeFactory,0,40,0,6,0,8,0,7,0,2
car-facade,ChatGPT.Factory_Method.Round3,Mocha,0,11,0,0,0,5,0,3,0,3
